Scheme Name,AMC Name,Fund Type,Category,Sub Category,Risk Level,Fund Rating,Return 1Y (%),Return 3Y (%),Return 5Y (%),Expense Ratio (%),NAV (₹),AUM (Cr),Fund Age (Years),Min SIP (₹),Min Lumpsum (₹),Fund Manager,Investment Strategy
Canara Robeco High Yield Credit Risk Plan - Regular Plan - IDCW,Canara Robeco Mutual Fund,Debt,Credit Risk,High Yield,Moderately High,3,8.17,8.42,8.92,0.99,455.84,450.93,22.6,500,10000,Kalpen Parekh,Active
Franklin Templeton Flexi Cap Multi Cap Fund - Direct Plan - Growth,Franklin Templeton Mutual Fund,Equity,Multi Cap,Flexi Cap,Moderately High,3,17.09,9.47,14.04,0.5,359.06,1791.14,6.0,1500,1000,Roshi Jain,Income
Bank of India High Yield Credit Risk Fund - Regular Plan - Growth,Bank of India Mutual Fund,Debt,Credit Risk,High Yield,Moderately High,3,17.19,9.98,11.32,0.85,485.83,2635.39,26.2,2500,10000,Ajay Tyagi,Index
Invesco Gilt Long Duration Plan - Direct Plan - IDCW,Invesco Mutual Fund,Debt,Long Duration,Gilt,Moderately High,1,2.64,5.95,1.28,1.03,364.7,733.47,10.1,5000,10000,Divam Sharma,Income
Aditya Birla Sun Life Corporate Credit Risk Plan - Direct Plan - IDCW,Aditya Birla Sun Life Mutual Fund,Debt,Credit Risk,Corporate,Moderate,3,3.9,9.91,13.49,1.4,757.79,146.91,11.5,500,10000,Divam Sharma,Blend
Kotak Mahindra Tax Saver ELSS Plan - Regular Plan - Growth,Kotak Mahindra Mutual Fund,Equity,ELSS,Tax Saver,High,4,13.6,11.88,11.65,1.8,33.43,529.26,19.5,2000,5000,Sohini Andani,Blend
ICICI Prudential Balanced Advantage Aggressive Hybrid Plan - Direct Plan - Growth,ICICI Prudential Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,Moderately High,5,24.57,,20.68,1.7,271.46,660.62,0.7,100,5000,Prashant Jain,Passive
JM Financial Opportunities Mid Cap Plan - Regular Plan - Growth,JM Financial Mutual Fund,Equity,Mid Cap,Opportunities,High,4,8.68,,,0.45,728.17,1100.31,0.7,5000,5000,Harsha Upadhyaya,GARP
Axis Balanced Dynamic Asset Allocation Fund - Regular Plan - IDCW,Axis Mutual Fund,Hybrid,Dynamic Asset Allocation,Balanced,Moderate,3,14.43,7.83,11.76,1.32,540.41,166.53,26.9,500,1000,Dhaval Gada,Active
Axis IT Sectoral Plan - Regular Plan - IDCW,Axis Mutual Fund,Equity,Sectoral,IT,Very High,4,16.98,23.38,27.6,0.78,186.12,7584.06,17.0,500,500,Rahul Baijal,Active
Motilal Oswal Regular Savings Conservative Hybrid Plan - Regular Plan - IDCW,Motilal Oswal Mutual Fund,Hybrid,Conservative Hybrid,Regular Savings,Moderate,3,5.05,9.34,4.35,1.21,788.28,843.9,27.2,5000,1000,Ajay Tyagi,Growth
ICICI Prudential Index Large Cap Fund - Direct Plan - IDCW,ICICI Prudential Mutual Fund,Equity,Large Cap,Index,Moderate,4,18.13,18.5,17.98,1.46,425.2,8435.9,9.8,5000,5000,Neelesh Surana,Blend
Mahindra Manulife Discovery Small Cap Fund - Regular Plan - IDCW,Mahindra Manulife Mutual Fund,Equity,Small Cap,Discovery,Very High,2,7.84,6.51,3.81,0.75,525.83,5892.59,15.4,5000,10000,Mahesh Patil,Active
HSBC Senior Citizen Retirement Scheme - Regular Plan - IDCW,HSBC Mutual Fund,Solution Oriented,Retirement,Senior Citizen,Moderately High,3,20.28,15.36,16.72,0.73,786.49,3671.52,8.6,1000,1000,Prashant Jain,Income
Mirae Asset Flexi Cap Multi Cap Fund - Direct Plan - Growth,Mirae Asset Mutual Fund,Equity,Multi Cap,Flexi Cap,Moderately High,4,10.64,17.73,,1.34,449.11,1030.84,1.4,2000,1000,Sankaran Naren,Growth
Nippon India Banking & PSU Medium Duration Scheme - Regular Plan - IDCW,Nippon India Mutual Fund,Debt,Medium Duration,Banking & PSU,Moderate,3,6.53,7.86,10.43,0.46,183.25,27964.24,5.3,1500,500,Niket Shah,Index
Bank of India Discovery Small Cap Scheme - Direct Plan - IDCW,Bank of India Mutual Fund,Equity,Small Cap,Discovery,Very High,5,44.13,38.88,37.71,1.5,578.89,410.69,29.2,1000,1000,Chandraprakash Padiyar,Index
ICICI Prudential Banking & PSU Medium Duration Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Debt,Medium Duration,Banking & PSU,Low to Moderate,4,6.33,8.93,10.96,0.46,214.87,509.84,15.6,1000,25000,Divam Sharma,Growth
Franklin Templeton Bluechip Large Cap Fund - Direct Plan - IDCW,Franklin Templeton Mutual Fund,Equity,Large Cap,Bluechip,Moderate,3,7.56,11.35,6.71,1.36,397.76,1567.53,3.3,5000,5000,Harsha Upadhyaya,Value
Motilal Oswal Balanced Advantage Aggressive Hybrid Fund - Direct Plan - Growth,Motilal Oswal Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,High,2,3.3,7.31,11.22,1.41,65.79,310.7,24.7,500,1000,Ashish Kela,Blend
SBI Overnight Liquid Plan - Direct Plan - IDCW,SBI Mutual Fund,Debt,Liquid,Overnight,Low,3,8.0,6.39,,0.5,192.01,379.49,1.7,500,500,Chandraprakash Padiyar,Active
Bandhan MNC Thematic Plan - Direct Plan - Growth,Bandhan Mutual Fund,Equity,Thematic,MNC,Moderately High,3,10.61,8.22,8.89,1.4,33.23,30175.44,14.3,2000,5000,Varun Goel,Growth
Nippon India Pension Retirement Fund - Direct Plan - IDCW,Nippon India Mutual Fund,Solution Oriented,Retirement,Pension,Moderate,3,11.98,9.98,12.78,1.26,419.27,685.91,26.7,2500,5000,Vinay Sharma,Value
Aditya Birla Sun Life MNC Thematic Fund - Regular Plan - IDCW,Aditya Birla Sun Life Mutual Fund,Equity,Thematic,MNC,High,4,5.42,12.57,15.53,1.15,189.46,5148.08,7.3,5000,10000,Nimesh Chandan,Index
HSBC Education Children's Fund Plan - Regular Plan - Growth,HSBC Mutual Fund,Solution Oriented,Children's Fund,Education,Moderately High,3,17.03,16.17,17.33,0.92,318.2,72.39,15.2,1000,1000,R. Srinivasan,Value
ICICI Prudential Corporate Credit Risk Scheme - Direct Plan - IDCW,ICICI Prudential Mutual Fund,Debt,Credit Risk,Corporate,Moderate,3,2.35,8.11,8.24,0.74,153.99,263.48,2.4,500,5000,Divam Sharma,Passive
Franklin Templeton Balanced Dynamic Asset Allocation Scheme - Direct Plan - Growth,Franklin Templeton Mutual Fund,Hybrid,Dynamic Asset Allocation,Balanced,Moderately High,3,13.16,11.13,13.41,1.35,380.64,106.75,19.4,2000,5000,Niket Shah,Passive
HDFC High Yield Credit Risk Plan - Regular Plan - IDCW,HDFC Mutual Fund,Debt,Credit Risk,High Yield,Moderately High,3,16.09,10.09,6.8,0.64,507.28,133.57,9.4,2000,10000,S. Nagnath,Active
Baroda BNP Paribas Growth Mid Cap Scheme - Direct Plan - IDCW,Baroda BNP Paribas Mutual Fund,Equity,Mid Cap,Growth,High,4,27.85,32.22,36.51,1.55,612.02,426.74,15.9,100,1000,Taher Badshah,Active
IDFC Emerging Small Cap Plan - Regular Plan - Growth,IDFC Mutual Fund,Equity,Small Cap,Emerging,High,3,14.36,17.22,13.82,0.85,632.53,379.91,5.4,5000,1000,Neelesh Surana,Growth
Nippon India Micro Cap Small Cap Fund - Direct Plan - IDCW,Nippon India Mutual Fund,Equity,Small Cap,Micro Cap,Very High,4,37.79,30.17,28.48,0.7,459.75,1284.23,18.9,1500,1000,Prashant Jain,Index
IDFC Tax Advantage ELSS Fund - Regular Plan - IDCW,IDFC Mutual Fund,Equity,ELSS,Tax Advantage,Moderately High,4,13.38,19.92,21.71,1.59,772.31,1374.58,8.2,2000,500,Chandraprakash Padiyar,Value
Kotak Mahindra Tax Advantage ELSS Scheme - Direct Plan - IDCW,Kotak Mahindra Mutual Fund,Equity,ELSS,Tax Advantage,High,4,23.31,20.0,22.9,0.79,215.31,48.98,25.9,500,10000,Gopal Agrawal,Index
Parag Parikh Banking & PSU Medium Duration Scheme - Direct Plan - IDCW,Parag Parikh Mutual Fund,Debt,Medium Duration,Banking & PSU,Low to Moderate,3,9.49,8.2,10.93,0.53,666.48,1381.67,8.6,2500,5000,Vetri Subramaniam,Passive
ICICI Prudential Corporate Credit Risk Scheme - Direct Plan - IDCW,ICICI Prudential Mutual Fund,Debt,Credit Risk,Corporate,Moderately High,2,5.89,6.28,4.46,0.77,773.85,2122.88,29.5,1000,10000,Prashant Jain,Passive
Mahindra Manulife Infrastructure Sectoral Plan - Direct Plan - Growth,Mahindra Manulife Mutual Fund,Equity,Sectoral,Infrastructure,Very High,4,24.61,28.56,23.96,1.31,748.69,501.97,0.8,5000,5000,Amit Ganatra,Blend
Motilal Oswal Money Market Short Duration Fund - Regular Plan - Growth,Motilal Oswal Mutual Fund,Debt,Short Duration,Money Market,Low,4,11.98,6.01,1.85,0.61,546.65,2107.63,24.8,1000,25000,Niket Shah,Active
L&T Tax Advantage ELSS Scheme - Direct Plan - IDCW,L&T Mutual Fund,Equity,ELSS,Tax Advantage,Moderately High,4,16.73,18.36,16.46,1.18,312.28,1407.72,13.3,2000,10000,Amit Ganatra,Index
UTI Nifty 100 Index Fund Scheme - Direct Plan - IDCW,UTI Mutual Fund,Other,Index Fund,Nifty 100,Moderate,4,16.0,9.24,9.04,0.35,665.5,258.5,12.6,1000,5000,Atul Kumar,GARP
Mirae Asset Micro Cap Small Cap Scheme - Direct Plan - IDCW,Mirae Asset Mutual Fund,Equity,Small Cap,Micro Cap,High,4,47.28,42.02,38.11,0.68,346.87,60.46,3.4,500,1000,Rohit Singhania,Growth
IDFC Money Market Short Duration Fund - Regular Plan - Growth,IDFC Mutual Fund,Debt,Short Duration,Money Market,Low to Moderate,1,4.93,4.57,,0.39,544.34,2055.05,26.3,1000,5000,R. Srinivasan,Growth
Quant Micro Cap Small Cap Plan - Direct Plan - IDCW,Quant Mutual Fund,Equity,Small Cap,Micro Cap,Very High,2,12.35,6.82,10.93,1.9,109.34,1073.89,29.9,1500,25000,Rahul Baijal,GARP
Nippon India Flexi Cap Multi Cap Fund - Direct Plan - IDCW,Nippon India Mutual Fund,Equity,Multi Cap,Flexi Cap,Moderately High,4,30.46,23.93,21.29,1.85,253.11,1672.02,14.6,500,1000,Ashish Kela,Growth
Franklin Templeton Tax Advantage ELSS Scheme - Regular Plan - IDCW,Franklin Templeton Mutual Fund,Equity,ELSS,Tax Advantage,High,4,18.57,23.52,24.05,0.88,764.85,17134.37,1.3,1500,25000,Rahul Baijal,Active
Parag Parikh Opportunities Mid Cap Scheme - Direct Plan - IDCW,Parag Parikh Mutual Fund,Equity,Mid Cap,Opportunities,High,5,14.69,16.06,13.39,1.19,698.99,2811.63,3.1,1000,500,Sankaran Naren,Growth
Kotak Mahindra Overnight Liquid Fund - Regular Plan - IDCW,Kotak Mahindra Mutual Fund,Debt,Liquid,Overnight,Low,3,8.25,3.67,1.17,0.27,285.57,13319.21,25.8,2500,1000,Rahul Baijal,Income
IDFC Emerging Small Cap Scheme - Regular Plan - Growth,IDFC Mutual Fund,Equity,Small Cap,Emerging,High,4,21.9,27.63,29.68,2.04,352.21,3590.83,15.9,2000,10000,Roshi Jain,Active
JM Financial High Yield Credit Risk Fund - Direct Plan - Growth,JM Financial Mutual Fund,Debt,Credit Risk,High Yield,Moderately High,3,11.5,8.47,,1.32,352.92,1060.99,2.6,500,1000,Shreyash Devalkar,Index
Edelweiss Balanced Advantage Aggressive Hybrid Fund - Direct Plan - IDCW,Edelweiss Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,High,3,6.26,12.65,13.99,1.63,711.1,541.24,18.2,100,500,Atul Kumar,Income
Quant Banking & PSU Medium Duration Scheme - Direct Plan - Growth,Quant Mutual Fund,Debt,Medium Duration,Banking & PSU,Low to Moderate,3,12.93,6.46,6.49,0.63,798.03,5894.54,15.1,2500,5000,Nimesh Chandan,Active
HDFC Discovery Mid Cap Scheme - Regular Plan - Growth,HDFC Mutual Fund,Equity,Mid Cap,Discovery,Moderately High,3,27.85,22.83,25.6,1.66,568.75,2713.72,26.9,5000,10000,Shreyash Devalkar,Value
Kotak Mahindra Diversified Multi Cap Scheme - Regular Plan - Growth,Kotak Mahindra Mutual Fund,Equity,Multi Cap,Diversified,Moderate,2,18.48,10.87,14.55,1.83,710.01,592.86,16.5,5000,5000,Rohit Singhania,Passive
Mirae Asset Money Market Short Duration Plan - Direct Plan - IDCW,Mirae Asset Mutual Fund,Debt,Short Duration,Money Market,Low to Moderate,2,-1.0,6.18,8.64,0.5,520.99,3.47,5.6,1000,10000,Anish Tawakley,Index
Nippon India Tax Advantage ELSS Fund - Regular Plan - Growth,Nippon India Mutual Fund,Equity,ELSS,Tax Advantage,Moderately High,4,6.62,11.49,16.22,0.73,221.26,7011.09,17.9,100,10000,Neelesh Surana,Income
Franklin Templeton Corporate Credit Risk Plan - Direct Plan - Growth,Franklin Templeton Mutual Fund,Debt,Credit Risk,Corporate,Moderate,1,10.62,5.92,8.77,0.74,236.62,512.88,12.8,500,5000,Ashish Kela,Growth
Nippon India Money Market Short Duration Plan - Regular Plan - IDCW,Nippon India Mutual Fund,Debt,Short Duration,Money Market,Low to Moderate,3,3.92,4.75,5.76,0.4,626.51,1571.54,25.3,1000,10000,Varun Goel,Blend
ICICI Prudential MNC Thematic Fund - Regular Plan - IDCW,ICICI Prudential Mutual Fund,Equity,Thematic,MNC,Moderately High,5,21.3,27.64,31.02,0.67,73.68,573.09,27.3,100,500,Manish Gunwani,Index
Motilal Oswal Dynamic Multi Cap Plan - Regular Plan - Growth,Motilal Oswal Mutual Fund,Equity,Multi Cap,Dynamic,Moderate,3,14.33,14.32,13.88,0.95,557.44,29102.98,22.9,100,5000,Swarup Mohanty,Income
Edelweiss Balanced Dynamic Asset Allocation Plan - Direct Plan - Growth,Edelweiss Mutual Fund,Hybrid,Dynamic Asset Allocation,Balanced,Moderately High,4,13.94,17.67,19.83,0.95,544.25,1509.05,22.0,100,1000,Prashant Jain,Index
Aditya Birla Sun Life Nifty 100 Index Fund Plan - Direct Plan - IDCW,Aditya Birla Sun Life Mutual Fund,Other,Index Fund,Nifty 100,Moderate,4,26.14,19.69,22.83,0.28,207.42,1079.74,11.4,500,5000,R. Srinivasan,Index
Bandhan Focused Large Cap Fund - Regular Plan - IDCW,Bandhan Mutual Fund,Equity,Large Cap,Focused,Moderate,4,18.56,18.48,,1.76,729.87,593.47,13.0,500,10000,Rahul Baijal,Growth
IDFC Value Thematic Scheme - Regular Plan - IDCW,IDFC Mutual Fund,Equity,Thematic,Value,Moderately High,4,26.94,26.56,27.28,1.94,646.3,224.94,4.4,5000,500,Neelesh Surana,Index
SBI Income Conservative Hybrid Scheme - Regular Plan - IDCW,SBI Mutual Fund,Hybrid,Conservative Hybrid,Income,Low to Moderate,4,4.76,8.05,3.55,0.88,289.51,3845.76,23.2,500,10000,Amit Ganatra,Growth
Bandhan MNC Thematic Plan - Direct Plan - IDCW,Bandhan Mutual Fund,Equity,Thematic,MNC,High,3,11.92,6.34,1.44,2.09,505.07,221.06,10.0,1000,1000,Jinesh Gopani,GARP
Baroda BNP Paribas Pharma Sectoral Plan - Regular Plan - IDCW,Baroda BNP Paribas Mutual Fund,Equity,Sectoral,Pharma,High,2,-1.89,2.34,-1.28,1.72,139.9,43906.08,9.3,1000,5000,Dhaval Gada,Active
Kotak Mahindra Dividend Yield Thematic Fund - Regular Plan - IDCW,Kotak Mahindra Mutual Fund,Equity,Thematic,Dividend Yield,High,2,-1.57,6.01,8.4,0.97,638.67,3541.29,13.2,1000,10000,Varun Goel,Index
Quant Dynamic Bond Long Duration Scheme - Regular Plan - Growth,Quant Mutual Fund,Debt,Long Duration,Dynamic Bond,Moderate,3,10.49,7.08,4.82,0.41,448.4,423.95,19.6,100,5000,Rohit Singhania,Blend
JM Financial High Yield Credit Risk Scheme - Direct Plan - Growth,JM Financial Mutual Fund,Debt,Credit Risk,High Yield,Moderately High,4,9.43,8.72,11.12,1.21,431.08,62.84,20.5,500,10000,Shreyash Devalkar,Growth
Baroda BNP Paribas Multi Asset Dynamic Asset Allocation Scheme - Regular Plan - IDCW,Baroda BNP Paribas Mutual Fund,Hybrid,Dynamic Asset Allocation,Multi Asset,Moderately High,3,9.79,11.19,,1.22,64.24,3817.11,28.6,2000,1000,Atul Kumar,Passive
Franklin Templeton Discovery Mid Cap Scheme - Direct Plan - Growth,Franklin Templeton Mutual Fund,Equity,Mid Cap,Discovery,Moderately High,4,23.77,24.92,,0.54,453.62,3630.54,14.6,500,10000,Sohini Andani,Income
Quantum Diversified Multi Cap Fund - Direct Plan - Growth,Quantum Mutual Fund,Equity,Multi Cap,Diversified,High,4,25.28,21.47,24.14,1.85,332.3,318.0,13.3,1000,5000,Harsha Upadhyaya,Index
SBI Bluechip Large Cap Fund - Regular Plan - IDCW,SBI Mutual Fund,Equity,Large Cap,Bluechip,Moderate,5,20.84,19.51,22.01,1.06,91.02,523.54,25.8,500,1000,Rajeev Thakkar,Value
Franklin Templeton Index Large Cap Fund - Regular Plan - IDCW,Franklin Templeton Mutual Fund,Equity,Large Cap,Index,Moderate,4,21.32,27.43,32.01,0.44,190.98,1193.64,25.6,5000,5000,Nimesh Chandan,Passive
Edelweiss Tax Advantage ELSS Plan - Regular Plan - IDCW,Edelweiss Mutual Fund,Equity,ELSS,Tax Advantage,High,4,29.87,28.43,29.73,1.77,243.07,909.25,11.0,100,10000,Sankaran Naren,Growth
Bandhan Senior Citizen Retirement Fund - Regular Plan - IDCW,Bandhan Mutual Fund,Solution Oriented,Retirement,Senior Citizen,Moderately High,3,22.63,15.01,19.03,0.54,660.39,1250.24,14.4,100,10000,S. Nagnath,GARP
ICICI Prudential High Yield Credit Risk Scheme - Regular Plan - Growth,ICICI Prudential Mutual Fund,Debt,Credit Risk,High Yield,Moderate,3,5.33,8.18,3.93,1.4,643.72,1070.54,4.6,2000,10000,Gopal Agrawal,Income
Invesco Balanced Dynamic Asset Allocation Scheme - Direct Plan - IDCW,Invesco Mutual Fund,Hybrid,Dynamic Asset Allocation,Balanced,Moderate,3,12.06,13.51,11.05,1.6,562.55,29441.91,3.2,5000,10000,Divam Sharma,Blend
L&T Overnight Liquid Scheme - Regular Plan - Growth,L&T Mutual Fund,Debt,Liquid,Overnight,Low,1,-0.9,3.77,5.38,0.46,327.78,4598.82,6.6,2500,500,Amit Ganatra,Value
Bank of India Dynamic Bond Long Duration Fund - Direct Plan - IDCW,Bank of India Mutual Fund,Debt,Long Duration,Dynamic Bond,Moderate,3,13.2,9.23,12.92,0.78,603.49,614.6,12.0,1000,5000,Swarup Mohanty,Blend
SBI Gilt Long Duration Plan - Regular Plan - Growth,SBI Mutual Fund,Debt,Long Duration,Gilt,Moderate,3,15.56,9.57,5.92,0.46,291.25,277.65,9.1,1500,500,Taher Badshah,Income
Quantum 10Y Gilt Long Duration Plan - Regular Plan - IDCW,Quantum Mutual Fund,Debt,Long Duration,10Y Gilt,Moderate,2,16.82,9.42,10.96,1.05,423.96,1319.68,16.9,500,1000,Vetri Subramaniam,Growth
Bandhan Equity Arbitrage Arbitrage Plan - Regular Plan - IDCW,Bandhan Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,2,2.77,4.88,3.52,0.97,359.6,123.06,22.8,2500,1000,Pranav Gokhale,Growth
ICICI Prudential Balanced Advantage Aggressive Hybrid Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,High,3,12.13,10.98,14.92,1.07,756.53,1557.44,11.8,2000,10000,Vinay Sharma,Income
Motilal Oswal Pension Retirement Plan - Direct Plan - Growth,Motilal Oswal Mutual Fund,Solution Oriented,Retirement,Pension,Moderate,3,10.94,10.32,9.78,1.02,380.64,6294.85,1.9,2000,25000,Neelesh Surana,Index
Invesco Education Children's Fund Fund - Regular Plan - Growth,Invesco Mutual Fund,Solution Oriented,Children's Fund,Education,Moderate,3,13.31,11.89,8.28,0.4,202.27,460.67,27.3,500,1000,Sankaran Naren,Active
Axis Tax Saver ELSS Plan - Direct Plan - IDCW,Axis Mutual Fund,Equity,ELSS,Tax Saver,High,3,7.4,12.5,7.64,1.66,701.03,1707.37,18.6,5000,25000,Pranav Gokhale,Blend
Nippon India MNC Thematic Scheme - Direct Plan - Growth,Nippon India Mutual Fund,Equity,Thematic,MNC,High,3,12.31,12.7,17.24,0.85,587.46,76.01,13.9,2000,5000,Niket Shah,Active
Bank of India IT Sectoral Scheme - Direct Plan - Growth,Bank of India Mutual Fund,Equity,Sectoral,IT,High,5,28.24,32.35,34.6,0.64,764.44,492.99,6.2,500,10000,Ankit Agarwal,Value
UTI Gift Children's Fund Plan - Direct Plan - Growth,UTI Mutual Fund,Solution Oriented,Children's Fund,Gift,Moderately High,3,23.39,15.9,15.68,1.2,301.6,769.08,5.4,100,10000,Vinay Sharma,Passive
L&T Gold Fund of Funds Scheme - Direct Plan - Growth,L&T Mutual Fund,Other,Fund of Funds,Gold,High,2,6.07,4.64,5.9,0.95,532.45,153.34,3.9,500,10000,Atul Kumar,Active
Sundaram Corporate Credit Risk Scheme - Direct Plan - Growth,Sundaram Mutual Fund,Debt,Credit Risk,Corporate,Moderately High,3,13.76,6.72,9.34,1.47,37.74,290.45,0.8,5000,500,Harsha Upadhyaya,Value
Canara Robeco Micro Cap Small Cap Plan - Regular Plan - IDCW,Canara Robeco Mutual Fund,Equity,Small Cap,Micro Cap,Very High,5,27.85,32.15,32.24,2.01,557.46,429.55,12.1,1000,5000,Amit Ganatra,Passive
Motilal Oswal Dynamic Multi Cap Scheme - Regular Plan - IDCW,Motilal Oswal Mutual Fund,Equity,Multi Cap,Dynamic,High,4,12.86,18.03,19.37,0.98,683.07,2712.35,11.2,5000,1000,Dhaval Gada,Value
DSP Tax Saver ELSS Fund - Direct Plan - IDCW,DSP Mutual Fund,Equity,ELSS,Tax Saver,High,4,24.86,25.08,22.33,0.79,139.0,8975.47,23.4,1000,25000,Amit Ganatra,Passive
JM Financial Emerging Small Cap Scheme - Direct Plan - IDCW,JM Financial Mutual Fund,Equity,Small Cap,Emerging,Very High,4,25.29,26.07,26.87,1.99,695.26,676.8,13.1,1000,5000,Roshi Jain,Income
Bandhan Money Market Short Duration Fund - Regular Plan - Growth,Bandhan Mutual Fund,Debt,Short Duration,Money Market,Low to Moderate,3,8.65,6.23,2.77,0.59,152.66,1044.48,22.6,500,10000,Rohit Singhania,Blend
Mahindra Manulife Discovery Mid Cap Scheme - Regular Plan - IDCW,Mahindra Manulife Mutual Fund,Equity,Mid Cap,Discovery,Moderately High,3,20.52,27.75,26.83,1.53,187.68,2448.4,17.8,2000,5000,Roshi Jain,GARP
Kotak Mahindra Tax Advantage ELSS Fund - Direct Plan - Growth,Kotak Mahindra Mutual Fund,Equity,ELSS,Tax Advantage,Moderately High,5,20.17,18.61,18.33,1.55,351.49,6724.52,6.5,1000,1000,Vinay Sharma,Active
Quantum Dividend Yield Thematic Fund - Regular Plan - Growth,Quantum Mutual Fund,Equity,Thematic,Dividend Yield,High,2,1.98,5.16,7.65,1.83,168.35,1101.68,27.6,2500,5000,Varun Goel,Active
Parag Parikh Equity Arbitrage Arbitrage Fund - Direct Plan - IDCW,Parag Parikh Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,3,0.25,6.89,,0.21,575.17,2635.78,10.7,1500,10000,Manish Gunwani,Blend
Bank of India Balanced Advantage Aggressive Hybrid Fund - Regular Plan - Growth,Bank of India Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,High,4,17.19,12.08,8.39,0.64,277.97,80.07,23.0,500,25000,Harsha Upadhyaya,Blend
Motilal Oswal Focused Large Cap Plan - Regular Plan - Growth,Motilal Oswal Mutual Fund,Equity,Large Cap,Focused,Moderate,5,20.42,15.02,10.69,1.71,789.16,225.21,3.1,500,5000,Jinesh Gopani,Index
Parag Parikh Growth Mid Cap Fund - Direct Plan - IDCW,Parag Parikh Mutual Fund,Equity,Mid Cap,Growth,High,3,23.73,19.31,,1.43,607.95,2857.82,26.7,500,1000,Amit Ganatra,Passive
Aditya Birla Sun Life Regular Savings Conservative Hybrid Fund - Direct Plan - IDCW,Aditya Birla Sun Life Mutual Fund,Hybrid,Conservative Hybrid,Regular Savings,Moderate,2,5.29,6.41,6.35,0.37,764.07,13994.72,4.3,2000,1000,Mahesh Patil,Active
Union High Yield Credit Risk Plan - Regular Plan - IDCW,Union Mutual Fund,Debt,Credit Risk,High Yield,Moderate,2,0.45,8.04,12.29,1.35,423.21,571.0,11.2,1000,1000,Neelesh Surana,Index
Axis Growth Mid Cap Scheme - Regular Plan - Growth,Axis Mutual Fund,Equity,Mid Cap,Growth,High,3,30.13,22.67,23.42,1.82,523.5,687.1,14.5,2000,10000,Mahesh Patil,Active
Union Multi Asset Dynamic Asset Allocation Scheme - Regular Plan - IDCW,Union Mutual Fund,Hybrid,Dynamic Asset Allocation,Multi Asset,Moderately High,3,17.56,11.66,9.58,0.58,685.41,4411.74,28.2,2500,5000,Varun Goel,GARP
Franklin Templeton Tax Saver ELSS Fund - Direct Plan - IDCW,Franklin Templeton Mutual Fund,Equity,ELSS,Tax Saver,Moderately High,3,17.02,19.02,20.28,1.69,230.23,1499.28,16.9,5000,10000,Rahul Baijal,Active
DSP Balanced Dynamic Asset Allocation Fund - Direct Plan - Growth,DSP Mutual Fund,Hybrid,Dynamic Asset Allocation,Balanced,Moderately High,3,12.64,7.61,8.67,1.73,276.91,1123.9,3.0,500,10000,Gopal Agrawal,GARP
Mahindra Manulife Domestic Fund of Funds Plan - Regular Plan - IDCW,Mahindra Manulife Mutual Fund,Other,Fund of Funds,Domestic,Moderately High,1,7.72,3.66,3.91,0.74,60.15,249.53,18.9,5000,5000,Prashant Jain,Growth
IDFC Gilt Long Duration Plan - Direct Plan - Growth,IDFC Mutual Fund,Debt,Long Duration,Gilt,Moderately High,1,12.25,5.69,3.73,0.7,438.66,383.98,11.9,500,5000,Vinay Sharma,Index
Bank of India Low Duration Short Duration Scheme - Direct Plan - Growth,Bank of India Mutual Fund,Debt,Short Duration,Low Duration,Low to Moderate,3,9.16,,,0.37,656.83,801.06,2.9,1000,500,Sankaran Naren,Value
ICICI Prudential Equity Savings Aggressive Hybrid Plan - Direct Plan - Growth,ICICI Prudential Mutual Fund,Hybrid,Aggressive Hybrid,Equity Savings,High,2,13.73,8.38,6.99,1.26,129.09,616.3,15.7,2000,1000,Pranav Gokhale,Active
Aditya Birla Sun Life Dynamic Bond Long Duration Plan - Regular Plan - IDCW,Aditya Birla Sun Life Mutual Fund,Debt,Long Duration,Dynamic Bond,Moderate,3,11.24,8.74,9.83,0.67,383.26,349.6,12.7,500,1000,Pranav Gokhale,Blend
SBI Regular Savings Conservative Hybrid Scheme - Direct Plan - IDCW,SBI Mutual Fund,Hybrid,Conservative Hybrid,Regular Savings,Low to Moderate,2,-1.3,6.61,8.12,0.54,712.97,1077.07,18.5,500,1000,Anish Tawakley,Blend
Baroda BNP Paribas Tax Advantage ELSS Plan - Direct Plan - IDCW,Baroda BNP Paribas Mutual Fund,Equity,ELSS,Tax Advantage,Moderately High,4,25.29,23.77,22.02,0.54,602.12,252.89,6.8,2500,1000,Neelesh Surana,Growth
Canara Robeco Balanced Advantage Aggressive Hybrid Fund - Regular Plan - IDCW,Canara Robeco Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,Moderately High,3,14.53,13.3,17.03,1.61,302.24,2893.89,13.3,100,10000,Kalpen Parekh,Blend
